-5.2164736e-04_C   6.0000000e+00_C
 -2.4079150   -0.9303548
 -2.2886350   -0.9303548
 -2.0332674   -0.9303548
 -1.7630941   -0.9303548
 -1.3961086   -0.9303548
 -1.1111964   -0.9303548
 -0.7136488   -0.9303548
 -0.3158678   -0.9303548
 -0.2076341   -0.9303548
 -0.1486734   -0.9303548
 -0.2026552   -0.9303548
 -0.2834976   -0.9303548
 -0.3195993   -0.9303548
 -0.3548453   -0.9303548
 -0.3742340   -0.9303548
 -0.3767199   -0.9303548
 -0.3948385   -0.9303548
 -0.2851511    1.0696452
 -0.1672621    1.0696452
 -0.0684059    1.0696452
 -0.1128718    1.0696452
 -0.0994381    1.0696452
  0.1914287    1.0696452
  0.3361278    1.0696452
  0.3351301    1.0696452
  0.3035406   -0.9303548
  0.2559673   -0.9303548
  0.3748925   -0.9303548
  0.3405724   -0.9303548
  0.0360432   -0.9303548
 -0.1584626   -0.9303548
 -0.2815697   -0.9303548
 -0.3675042   -0.9303548
 -0.4282990    1.0696452
 -0.4295442    1.0696452
 -0.3308145   -0.9303548
 -0.1980793   -0.9303548
 -0.1470644   -0.9303548
 -0.1871296   -0.9303548
 -0.2558734   -0.9303548
 -0.3179255   -0.9303548
 -0.3721165    1.0696452
 -0.3859748    1.0696452
 -0.2970897    1.0696452
 -0.1332813    1.0696452
  0.2631365    1.0696452
  0.4839509    1.0696452
  0.3439117    1.0696452
  0.2876651    1.0696452
  0.4485943   -0.9303548
  0.5149280   -0.9303548
  0.2590586    1.0696452
  0.0187567    1.0696452
  0.0026028   -0.9303548
  0.0958032   -0.9303548
  0.0766751   -0.9303548
 -0.0309244   -0.9303548
 -0.1253330    1.0696452
 -0.1638158    1.0696452
 -0.1197502    1.0696452
  0.0159763    1.0696452
  0.1557967   -0.9303548
  0.2717093   -0.9303548
  0.2566808   -0.9303548
  0.0899618   -0.9303548
 -0.0735984    1.0696452
 -0.3279975    1.0696452
 -0.3619063   -0.9303548
 -0.1235390   -0.9303548
 -0.0772101   -0.9303548
 -0.1373893   -0.9303548
 -0.1886389    1.0696452
 -0.2176917    1.0696452
 -0.1320967   -0.9303548
  0.0115140   -0.9303548
  0.0513768   -0.9303548
 -0.0123354   -0.9303548
 -0.1093436   -0.9303548
 -0.1400094   -0.9303548
 -0.1798784   -0.9303548
 -0.2943093   -0.9303548
 -0.3738361    1.0696452
 -0.3881228    1.0696452
 -0.2972302   -0.9303548
 -0.1493306   -0.9303548
 -0.0707166    1.0696452
  0.2088446    1.0696452
  0.4055736    1.0696452
  0.3064427    1.0696452
  0.2708799    1.0696452
  0.2544300    1.0696452
  0.2474796    1.0696452
  0.2600751    1.0696452
  0.2898630   -0.9303548
  0.2756281   -0.9303548
  0.1786297   -0.9303548
  0.0323887   -0.9303548
 -0.1046807   -0.9303548
 -0.2131503   -0.9303548
 -0.2987018    1.0696452
 -0.3199532    1.0696452
 -0.2931814    1.0696452
 -0.1522757    1.0696452
  0.0587050   -0.9303548
 -0.0726715   -0.9303548
 -0.2135348   -0.9303548
 -0.1488182   -0.9303548
 -0.1889770    1.0696452
 -0.2402806    1.0696452
 -0.2370079    1.0696452
 -0.0898715    1.0696452
  0.1111677    1.0696452
  0.2257593    1.0696452
  0.2145889    1.0696452
  0.2099310    1.0696452
  0.2784640   -0.9303548
  0.2829363   -0.9303548
  0.1391895    1.0696452
 -0.2430319    1.0696452
 -0.3012077    1.0696452
  0.0028560    1.0696452
  0.1290800   -0.9303548
  0.3144565   -0.9303548
  0.3635163    1.0696452
  0.1950304    1.0696452
  0.1571201    1.0696452
  0.2573597    1.0696452
  0.3485749    1.0696452
  0.3514878    1.0696452
  0.3603646   -0.9303548
  0.0866679   -0.9303548
 -0.1417313    1.0696452
 -0.0570673    1.0696452
  0.0433027   -0.9303548
  0.1046161   -0.9303548
  0.1472225    1.0696452
  0.1516014    1.0696452
  0.1388086   -0.9303548
  0.1810188   -0.9303548
  0.1425885   -0.9303548
  0.0315138   -0.9303548
 -0.1124397   -0.9303548
 -0.2414279   -0.9303548
 -0.3141426    1.0696452
 -0.3171684    1.0696452
 -0.2047196   -0.9303548
 -0.0518785   -0.9303548
  0.0031006    1.0696452
 -0.0369321    1.0696452
  0.0034821   -0.9303548
  0.1164420   -0.9303548
  0.1091302   -0.9303548
  0.0070741   -0.9303548
 -0.1101064   -0.9303548
 -0.2205252   -0.9303548
 -0.3050825   -0.9303548
 -0.3654935   -0.9303548
 -0.7054937    1.0696452
 -0.8486762    1.0696452
 -0.5159044    1.0696452
 -0.2249740    1.0696452
 -0.0120391   -0.9303548
  0.1141778   -0.9303548
  0.1071022    1.0696452
  0.0352141    1.0696452
  0.0551055    1.0696452
  0.0264483    1.0696452
  0.0227379   -0.9303548
  0.0978744   -0.9303548
  0.0551549    1.0696452
 -0.0034152    1.0696452
  0.0329596   -0.9303548
  0.0607930   -0.9303548
